jobid,confidence_class1,confidence_class2,confidence_class3
gbej5r,0.9782025757513907,0.8474900720371101,0.13515936000766893
og900f,0.9968665214527541,0.816525628390431,0.4835158491204411
lngzsm,0.23689297086140015,0.6759232089051909,0.1754821254591612
ry1qpb,0.0587380765785539,0.6713305584083488,0.37226369039089136
yp6gt4,0.21121553985712893,0.9764124077054857,0.6927684386165404
7bi8ee,0.5773320789884461,0.8923020626436694,0.6197252220353853
lufvcm,0.16745815245549178,0.8313133507888596,0.07683414251307352
h8xm8p,0.6539934130313799,0.5435538424991226,0.8747277333344095
oklpnf,0.37586494743177334,0.1979637059028173,0.9234480834401186
8x8hy1,0.9321919694240332,0.13052538914360767,0.7644593420385088
rq9xzi,0.4999974469771754,0.19248593928752633,0.7861111508310953
gccuxj,0.8825074919916072,0.11545286987443337,0.8802469718347944
p575kd,0.7870727402339406,0.5235331933487448,0.48270735782096175
ewlw7x,0.1201963369005351,0.9704289551986436,0.973217507915337
vjhsd7,0.7352052981491493,0.014226671624099518,0.301451644161851
3bk5d5,0.9649618997927999,0.6493132209009366,0.47488767673457943
s6t0k6,0.06462925648119466,0.3145265745803517,0.8253521366224891
555iw4,0.8879858107602369,0.6184125269047213,0.6825349338063738
ru8fy8,0.5542304686697759,0.297484493040463,0.05056006009486669
cenyx4,0.4713967737667689,0.304028905048662,0.805554601601657
qs8zs2,0.6315461585292739,0.9329320298664591,0.9921553148078776
048ysq,0.16994672753246953,0.303964385510922,0.012622008795039497
asjixp,0.2022414296308428,0.5856008304279599,0.8168105773093596
c11d4x,0.8404470293177513,0.1919451735083536,0.1304683901442647
iype4c,0.7761915872648021,0.10316177232944268,0.6065221213449923
n48c6d,0.7889175771496663,0.6002435008504134,0.20551416499831943
02z88a,0.7233596386121743,0.8923382929198732,0.539640406999758
eyjxp2,0.44258013233365945,0.4432434537028056,0.6267102661609131
wzibyf,0.11336392851674426,0.08211878257331906,0.23991774297961188
cw9js6,0.2054769396955476,0.4136467164954477,0.6730861965836166
6qv2ty,0.2834236105825294,0.41040487705613005,0.8545298531018144
rtmtkg,0.7674144743223341,0.7815438919094584,0.25985627290899493
ubwrq4,0.15778593941327457,0.8018399592629644,0.6176898781763251
gtzydx,0.665276707661398,0.7563076024623615,0.4005124711661273
onid4f,0.8282591061298635,0.6843747504235123,0.9903965108052504
614pt3,0.9965173998721522,0.44097148374625295,0.051638081040950246
q1u6jx,0.41716859591885314,0.12750579111271487,0.2816481534380144
2asl43,0.6144605428622028,0.8417375318151273,0.12704751882164111
yil208,0.7245858560371028,0.793667803509348,0.2881504231997484
s8jdar,0.9748394204175385,0.03434725145336548,0.775496253725355
up2hmo,0.3339077830095536,0.3776252992208875,0.21121316015231872
ga86p8,0.2460371582803118,0.4621564703197053,0.1429470610938749
2xespw,0.7467980596620686,0.1850805792580681,0.4213441719499198
rd59hk,0.18653402867197344,0.05748259619058349,0.7650643113243584
gmwvbu,0.8107207413596149,0.926429050947278,0.8928427576426385
aqkjq2,0.08163873203457461,0.7001402025057989,0.29893791067050146
d1w2x8,0.7382290717903928,0.2192615787778508,0.5097474318252092
bqxol5,0.172665531587878,0.04910548729833519,0.5054355457967818
